,0,1,2,3,4,5,Coach,URL,TM,Season
1068,51,us US,"Jan 15, 1956",Pitching,Apr 2,Sep 30,Don Cooper,/players/c/coopedo01.shtml,CHW,2007
1069,61,us US,"Dec 19, 1945",Bullpen,Apr 2,Sep 30,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2007
1070,48,us US,"Mar 15, 1959",First base,Apr 2,Sep 30,Harold Baines,/players/b/baineha01.shtml,CHW,2007
1071,50,us US,"Jul 18, 1956",Third base,Apr 2,Sep 30,Razor Shines,/players/s/shinera01.shtml,CHW,2007
1072,42,ve VE,"Jan 20, 1964",Manager,Apr 2,Oct 1,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2006
1073,46,us US,"Oct 6, 1959",Hitting,Apr 2,Oct 1,Greg Walker,/players/w/walkegr01.shtml,CHW,2006
1074,50,us US,"Jan 15, 1956",Pitching,Apr 2,Oct 1,Don Cooper,/players/c/coopedo01.shtml,CHW,2006
1075,60,us US,"Dec 19, 1945",Bullpen,Apr 2,Oct 1,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2006
1076,47,us US,"Mar 15, 1959",First base,Apr 2,Oct 1,Harold Baines,/players/b/baineha01.shtml,CHW,2006
1077,41,pr PR,"May 14, 1965",Third base,Apr 2,Oct 1,Joey Cora,/players/c/corajo01.shtml,CHW,2006
1078,46,us US,"Sep 16, 1959",,Apr 2,Oct 1,Tim Raines,/players/r/raineti01.shtml,CHW,2006
1079,41,ve VE,"Jan 20, 1964",Manager,Apr 4,Oct 2,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2005
1080,46,us US,"Mar 15, 1959",Bench,Apr 4,Oct 2,Harold Baines,/players/b/baineha01.shtml,CHW,2005
1081,45,us US,"Oct 6, 1959",Hitting,Apr 4,Oct 2,Greg Walker,/players/w/walkegr01.shtml,CHW,2005
1082,49,us US,"Jan 15, 1956",Pitching,Apr 4,Oct 2,Don Cooper,/players/c/coopedo01.shtml,CHW,2005
1083,59,us US,"Dec 19, 1945",Bullpen,Apr 4,Oct 2,Art Kusnyer,/players/k/kusnyar01.shtml,CHW,2005
1084,40,pr PR,"May 14, 1965",Third base,Apr 4,Oct 2,Joey Cora,/players/c/corajo01.shtml,CHW,2005
1085,45,us US,"Sep 16, 1959",,Apr 4,Oct 2,Tim Raines,/players/r/raineti01.shtml,CHW,2005
1086,40,ve VE,"Jan 20, 1964",Manager,Apr 5,Oct 3,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2004
1087,45,us US,"Mar 15, 1959",Bench,Apr 5,Oct 3,Harold Baines,/players/b/baineha01.shtml,CHW,2004
1088,44,us US,"Oct 6, 1959",Hitting,Apr 5,Oct 3,Greg Walker,/players/w/walkegr01.shtml,CHW,2004
